オーナー登録済フラグ,店名,住所,電話番号,ジャンル,評価＆口コミ点数,口コミ数,公式サイトURL,メニューURL,URL
オーナー未登録,串焼ダイニング 横道,〒812-0018 福岡県 福岡市博多区 住吉2-6-30 アコード住吉1F,+81 50-5788-5012,居酒屋,4.5 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9631970-Reviews-Kushiyaki_Dining_Yokomichi-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,九わ萬,〒810-0003 福岡県 福岡市中央区 春吉2-16-14 中村ビル3F,+81 92-717-6432,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d14938254,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d14938254-Reviews-Kuwaman-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多ん肴屋 五六桜,〒812-0026 福岡県 福岡市博多区 上川端町10-15 ローズマンション1F-B,+81 92-409-5696,,4.0 ,2件の口コミ,https://www.facebook.com/gorou56/,https://www.tripadvisor.jp/UpdateListing-d14949377,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d14949377-Reviews-Gorou-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,御膳屋 照葉 スパリゾート店,〒813-0017 福岡県 福岡市 東区香椎照葉5-2-15 アイランドシティ 照葉スパリゾート内,+81 92-661-8828,,5.0 ,1件の口コミ,http://ozenya.com/teriha/,https://www.tripadvisor.jp/UpdateListing-d17455074,https://www.tripadvisor.jp/Restaurant_Review-g298207-d17455074-Reviews-Ozenya_Teriha_Spa_Resort-Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,湊庵,〒810-0011 福岡県 福岡市中央区 高砂1-23-17 三浦ビル1階,+81 92-406-8894,和食,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d17574253,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d17574253-Reviews-Minatoan-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多屋台酒場よったか,〒810-0012 福岡県 福岡市中央区 白金1-15-7 ダイアパレス白金102,+81 92-522-0723,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d14941985,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d14941985-Reviews-Hakaat_Yatai_Sakaba_Yottaka-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,海舟,〒812-0894 福岡県 福岡市博多区 諸岡6-2-36,+81 92-584-8666,居酒屋,4.5 ,3件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9613754,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9613754-Reviews-Kaishu-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,かんてきや 博多本店,〒812-0012 福岡県 福岡市博多区 博多駅中央街1-1 新幹線博多駅西高架下1F,+81 50-3491-1246,,3.5 ,11件の口コミ,http://kantekiya-honten.owst.jp/,https://kantekiya-honten.owst.jp/foods,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d7912327-Reviews-Kantekiya_Hakata_Honten-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,季節の魚菜とうまいもん 旬しゅん,〒812-0018 福岡県 福岡市博多区 住吉2-11-9 1F,+81 50-5787-8045,,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9690581,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690581-Reviews-Kisetsu_No_Gyosai_to_Umaimon_Shunshun-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,虹松屋,〒810-0041 福岡県 福岡市中央区 大名2-2-41,+81 92-725-0293,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9917970,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9917970-Reviews-Nijimatsuya-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,とめ手羽 博多駅東店,〒812-0013 福岡県 福岡市博多区 博多駅東3-3-3 新比恵ビル1F,+81 92-482-8511,,4.0 ,2件の口コミ,https://www.tometeba.jp/shop/hakataekihigashi/,https://www.tometeba.jp/menu/,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d17439709-Reviews-Tometeba_Hakata_Station_East-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,喜水亭 和樂 大名店,〒810-0041 福岡県 福岡市中央区 大名1-8-31 1F,+81 92-791-3090,パブ,4.5 ,2件の口コミ,https://kisuiteiwaraku-daimyo.owst.jp/,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d17382824-Reviews-Kisuitei_Waraku_Daimyo-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,焼鳥 ふじ家,〒812-0025 福岡県 福岡市博多区 店屋町4-32,+81 92-271-9494,,,,http://yakitori-fujiya.owst.jp/,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9613789-Reviews-Fujiya_Yakitori_Restaurant-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,グリルド てっちゃん,〒810-0801 福岡県 福岡市博多区中洲 2-7-29 インフォスタービル1F,+81 92-271-7109,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9949619,https://www.tripadvisor.jp/Restaurant_Review-g14135118-d9949619-Reviews-Grilled_Tetchan-Nakasu_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,二葉食堂,〒812-0038 福岡県 福岡市博多区 祇園町2-30,+81 92-272-3288,居酒屋,3.5 ,4件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9629429,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9629429-Reviews-Futaba_Restaurant-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ふとっぱら 渡辺通り店,〒810-0004 福岡県 福岡市中央区 渡辺通2-1-82 電気ビル共創館2F,+81 50-5789-1440,和食（その他）,3.5 ,6件の口コミ,http://www.futoppara.com/store/watanabe.html,https://www.futoppara.com/menu/,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9637303-Reviews-Futoppara_Watanabe_Dori-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,串屋 やじろう,〒812-0018 福岡県 福岡市博多区 住吉4-10-19,+81 92-433-2741,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9629427,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9629427-Reviews-Kushiya_Yajiro-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,ふくろうの森,〒810-0041 福岡県 福岡市中央区 大名2-2-42 ハビタス21大名2-6F,+81 92-751-1940,グリル,4.0 ,5件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d6056085-Reviews-Fukuro_No_Mori-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,伊都の栞,〒810-0002 福岡県 福岡市中央区 西中洲3-1 デルタウエスト2F,+81 92-707-0249,,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13938912-Reviews-Ito_No_Shiori-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,和食屋ヘルシー亭 とも喜,〒810-0042 福岡県 福岡市中央区 赤坂1-6-15 日新ビル1F,+81 92-724-5600,居酒屋,5.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9928746-Reviews-Japanese_Restaurant_Healthy_Tei_Tomoki-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,個室×イタリアンBuono‐Buona天神,〒810-0001 福岡県 福岡市中央区天神 2-6-24 アルボーレ天神5F,+81 50-5787-9116,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9632087,https://www.tripadvisor.jp/Restaurant_Review-g14135106-d9632087-Reviews-Private_RoomsxItalian_Buono_Buona_Tenjin-Tenjin_Chuo_Fukuoka_Fukuoka_Prefecture.html
オーナー未登録,酒房野菊,〒810-0002 福岡県 福岡市中央区 西中洲12-6,+81 92-761-5221,パブ,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9902908,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9902908-Reviews-Shubo_Nogiku-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,味処酔酔,〒810-0002 福岡県 福岡市中央区 西中洲2-9,+81 92-724-6646,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9959662,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9959662-Reviews-Aji_Dokoro_Yoiyoi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,かこみ庵 博多駅筑紫口店,〒812-0000 福岡県 福岡市博多区 博多駅東2-4-14 第2大和ビル2 3階,+81 92-710-7122,海鮮・シーフード,5.0 ,1件の口コミ,http://kakomian-tikushiguti.owst.jp/en/,https://kakomian-tikushiguti.owst.jp/en/,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d16736373-Reviews-Kakomian_Hakataeki_Chikushiguchi-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,焼売酒場 いしい,〒810-0004 福岡県 福岡市中央区 渡辺通5-20-6 CASVITENJIN1F,+81 92-406-4104,,5.0 ,1件の口コミ,https://syumaisakabaishii.owst.jp/,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d17382618-Reviews-Ishii-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,馬力キング 天神赤坂店,〒810-0042 福岡県 福岡市中央区 赤坂1-5-21 1F,+81 92-738-0707,和食,3.5 ,3件の口コミ,http://akasaka-bariking.gorp.jp/,https://r.gnavi.co.jp/6nd5w02p0000/menu5/,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d8597640-Reviews-Bariking_Akasaka-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,港焼とり本舗,〒810-0075 福岡県 福岡市中央区 港2-3-13,+81 92-733-1194,,4.5 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9613759,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9613759-Reviews-Minato_Yakitori_Main_Store-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,酒場あうん 博多店,〒812-0013 福岡県 福岡市博多区 博多駅東2-3-28 蒲池ビル2Ｆ,+81 92-412-2388,,4.0 ,11件の口コミ,http://www.aungroup.jp/,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d6056837-Reviews-Sakaba_Aun_Hakata-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,居彩茶屋 宝船,〒815-0033 福岡県 福岡市 南区大橋1-1-11 ビュークレスト1F,+81 92-557-8811,,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d6044801-Reviews-Isai_Chaya_Takarabune-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,海山商事,〒810-0021 福岡県 福岡市中央区 今泉2-4-41 サンシティパーキング天神,+81 92-724-9988,,4.0 ,4件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9613862,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9613862-Reviews-Umiyama_Shoji-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,いしむら,〒810-0073 福岡県 福岡市中央区 舞鶴3-8-1,+81 92-713-5886,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9956222,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9956222-Reviews-Ishimura-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多うまか遊び庵,〒812-0029 福岡県 福岡市博多区 古門戸町2-8,+81 50-5788-0839,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9690592,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9690592-Reviews-Hakata_Umakaasobian-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,じゃじゃ馬,〒810-0044 福岡県 福岡市中央区 六本松3-8-15,+81 92-761-3068,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9928562,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9928562-Reviews-Jaja_Uma-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,三九酒場 けごむす,〒810-0023 福岡県 福岡市中央区 警固2-15-1,+81 92-406-7855,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d13266999,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13266999-Reviews-Thirty_Nine_Tavern_Kegomusu-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,ももや精肉堂 警固店,〒810-0023 福岡県 福岡市中央区 警固1-4-20,+81 92-406-8960,和食,4.0 ,3件の口コミ,https://smapano2.com/restaurant/momoya-seinikudo/,https://r.gnavi.co.jp/6v3ahpp70000/menu1/,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9629387-Reviews-Momoya_Seinikudo_Kego-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,備長吉兆や 中洲店,〒810-0801 福岡県 福岡市博多区中洲 5-2-3 許斐ビル1F,+81 92-282-5277,,3.5 ,6件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14135118-d6067884-Reviews-Bincho_Kicchoya_Nakasu-Nakasu_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,とりのてつ 博多店,〒812-0013 福岡県 福岡市博多区 博多駅東2-3-28,+81 92-292-5708,,3.5 ,3件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d13243728-Reviews-Torinotetu_hakata-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,スズメバチ,〒810-0003 福岡県 福岡市中央区 春吉3-11-19 パノラマスクエア1F,+81 92-981-2167,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9907987,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9907987-Reviews-Suzumebachi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,味処 まつ,〒815-0037 福岡県 福岡市 南区玉川町12-10,+81 92-542-6530,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d14932773,https://www.tripadvisor.jp/Restaurant_Review-g298207-d14932773-Reviews-Ajitokoro_Matsu-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,馳走処手いっぽん,〒812-0025 福岡県 福岡市博多区 店屋町5-3 島塚ビル1F,+81 92-262-6561,居酒屋,5.0 ,1件の口コミ,http://umakamon-teippon.area9.jp/,https://www.tripadvisor.jp/UpdateListing-d9672431,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9672431-Reviews-Chisodokoro_Te_Ippon-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,喜楽や はぐれ,福岡県 福岡市 東区香椎駅前1-10-28,+81 92-661-9321,居酒屋,5.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7469335-Reviews-Kirakuya_Hagure-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,三六十八,〒810-0023 福岡県 福岡市中央区 警固2-16-20 朝日プラザ赤坂1F,+81 92-771-2247,居酒屋,5.0 ,1件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9927422-Reviews-Saburoku_Juhachi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,鷹勝 別亭,〒810-0005 福岡県 福岡市中央区 清川2-11-23 ヴィラニューエイジ1F,+81 92-532-8008,,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9672444,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9672444-Reviews-Takasho_Bettei-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,克,福岡県 福岡市 早良区次郎丸4-1-45,+81 92-775-8847,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7469181,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7469181-Reviews-Katsu-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,居酒屋 まる家 善太,〒810-0801 福岡県 福岡市博多区中洲 4-1-35 中州岡部ビル1号館1F,+81 92-263-1886,居酒屋,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14135118-d9958102-Reviews-Izakaya_Maruya_Zenta-Nakasu_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,酒処 あかり,〒812-0013 福岡県 福岡市博多区 博多駅東2-3-29 東福博多駅東ビル1階,+81 92-710-7577,居酒屋,4.0 ,6件の口コミ,https://www.facebook.com/sakedokoro.akari/?ref=nf,https://www.tripadvisor.jp/UpdateListing-d12526757,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d12526757-Reviews-Sakedokoro_Akari-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,焼酎居酒屋 さつま,〒810-0074 福岡県 福岡市中央区 大手門3-4-22,+81 92-725-3777,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9902075,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9902075-Reviews-Shochu_Izakaya_Satsuma-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,万作,〒810-0021 福岡県 福岡市中央区 今泉1-4-2,+81 92-751-8973,居酒屋,3.5 ,3件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9629416,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9629416-Reviews-Mansaku-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,一番鷹ラーメン居酒屋,〒812-0013 福岡県 福岡市博多区 博多駅東2-3-29,+81 92-431-3796,,3.5 ,3件の口コミ,http://ichibantaka.com/,https://www.tripadvisor.jp/UpdateListing-d13199063,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d13199063-Reviews-Ichibandaka_Ramen_Izakaya-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,まつり,〒810-0003 福岡県 福岡市中央区 春吉3-25-3 白亜荘 1F,+81 92-791-6155,居酒屋,3.5 ,3件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d11890275,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d11890275-Reviews-Matsuri-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,すがはら,福岡県 福岡市 早良区祖原3-9,+81 92-841-3036,居酒屋,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7664115,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7664115-Reviews-Sugahara-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,Tiny Boat,〒810-0022 福岡県 福岡市中央区 薬院3-8-16,+81 92-522-3170,居酒屋,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9912098-Reviews-Tiny_Boat-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,婆娑羅,福岡県 福岡市博多区中洲 2-7-22,+81 92-262-6062,居酒屋,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14135118-d7670157-Reviews-Basara-Nakasu_Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,しろ屋 博多駅筑紫口店,〒812-0013 福岡県 福岡市博多区 博多駅東2-1-24 ギャラリー博多6F,+81 92-411-0558,和食,4.0 ,2件の口コミ,http://shiroya-hakata.owst.jp/en/,https://shiroya-hakata.owst.jp/en/,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d14961234-Reviews-Shiroya_Hakata_Station_Tsukushi_Entrance-Hakata_Fukuoka_Fukuoka_Prefecture_Kyu.html
登録済み,炉ばた しんがり,〒810-0073 福岡県 福岡市中央区 舞鶴1-9-3 1F,+81 92-406-6177,海鮮・シーフード,4.0 ,2件の口コミ,http://www.cfc-inc.co.jp/shingari.html,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d12122916-Reviews-Robata_Singari-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,捏製作所,〒814-0013 福岡県 福岡市 早良区藤崎1-14-5 大産藤崎コーポ 1F,+81 92-833-5666,,5.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d14738191,https://www.tripadvisor.jp/Restaurant_Review-g298207-d14738191-Reviews-Tsukune_Seisakusho-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ぎょくちょう,福岡県 福岡市中央区 渡辺通2-8-26,+81 92-751-6110,居酒屋,3.5 ,3件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7468353,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d7468353-Reviews-Gyokucho-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,たんぽぽ,福岡県 福岡市 南区野間4-3-33,+81 92-511-9625,居酒屋,5.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d7468554,https://www.tripadvisor.jp/Restaurant_Review-g298207-d7468554-Reviews-Tampopo-Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,川端 ふじ乃,〒812-0026 福岡県 福岡市博多区 上川端町9-154,+81 92-292-8777,,4.0 ,2件の口コミ,http://kawabata-fujino.com/,https://www.tripadvisor.jp/UpdateListing-d14956115,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d14956115-Reviews-Kawabata_Fujino-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,ざかぐら,〒812-0012 福岡県 福岡市博多区 博多駅中央街6-3 博多中央街ビル6F-A,+81 92-433-8018,,4.0 ,12件の口コミ,http://zakagura.jp/introduction/,https://zakagura.jp/introduction/,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d6069446-Reviews-Zakagura-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,さかえ,〒812-0016 福岡県 福岡市博多区 博多駅南4-11-28,+81 92-431-0893,寿司,4.0 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d7663548-Reviews-Sakae-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,お食事処政,〒812-0007 福岡県 福岡市博多区 東比恵2-17-23,+81 92-472-4205,居酒屋,4.0 ,2件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9921619,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d9921619-Reviews-Oshokuji_Dokoro_Masa-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ロバータ・デ・ニーロ（炉端デ・ニーロ）,〒810-0022 福岡県 福岡市中央区 薬院1-10-10 2F,+81 92-753-8190,和食（その他）,3.5 ,3件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9631914,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9631914-Reviews-Robarta_de_Niro-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ハルよし食童,〒810-0003 福岡県 福岡市中央区 春吉3-23-27,+81 92-714-1561,居酒屋,4.0 ,1件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9951737,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9951737-Reviews-Haruyoshi_Shokudo-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
