オーナー登録済フラグ,店名,住所,電話番号,ジャンル,評価＆口コミ点数,口コミ数,公式サイトURL,メニューURL,URL
オーナー未登録,酒肆ちろり,〒810-0004 福岡県 福岡市中央区 渡辺通2-3-32 三角市場内共同トイレ右隣,+81 92-771-1339,居酒屋,4.0 ,4件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9903455,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9903455-Reviews-Shushi_Chorori-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,竹乃屋 吉塚店,〒812-0046 福岡県 福岡市博多区 吉塚本町13-30,+81 92-645-2800,,3.5 ,10件の口コミ,http://www.umakamonya.com/shoplist/shop17,https://www.umakamonya.com/shoplist/shop17,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d6049017-Reviews-Takenoya_Yoshizuka-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,炭火やきとり 花金魚,〒810-0022 福岡県 福岡市中央区 薬院2-3-5 エコール薬院1F,+81 50-5789-4098,居酒屋,4.5 ,2件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9613833-Reviews-Sumibi_Yakitori_Hanakingyo-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,ひょうたん,〒810-0022 福岡県 福岡市中央区 薬院1-10-5 1F,+81 92-711-0955,居酒屋,4.0 ,3件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d10841374-Reviews-Hyotan-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,博多手羽先横丁 冷泉本店,〒812-0039 福岡県 福岡市博多区 冷泉町6-38 PGSビル1F,+81 92-282-3139,,4.0 ,4件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d6069567-Reviews-Hakata_Tebasakiyokochoh_Reisen_Honten-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
登録済み,炉ばた 一,〒810-0041 福岡県 福岡市中央区 大名1-8-34 B1,+81 92-713-2070,,4.0 ,3件の口コミ,,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d11765456-Reviews-Robataichi-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,和酒屋SADAKANE,〒812-0018 福岡県 福岡市博多区 住吉3-5-8 藤野ビル1F,+81 92-409-5427,居酒屋,4.5 ,2件の口コミ,http://sadakane.asia/,https://sadakane.asia/menu_1/,https://www.tripadvisor.jp/Restaurant_Review-g14127501-d10499224-Reviews-Sadakane-Hakata_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,笑うだるま 大手門店,〒810-0074 福岡県 福岡市中央区 大手門3-6-5,+81 50-5786-2243,居酒屋,3.5 ,5件の口コミ,,https://www.tripadvisor.jp/UpdateListing-d9672327,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d9672327-Reviews-Warau_Daruma_Otemon-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,がブリチキン。天神店,〒810-0073 福岡県 福岡市中央区 舞鶴1-9-3,+81 92-732-3553,,4.0 ,2件の口コミ,https://gabuchiki.com/,,https://www.tripadvisor.jp/Restaurant_Review-g14127491-d13241336-Reviews-There_Burichikin_Tenjin_Store-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html
オーナー未登録,Bar Arikado,〒813-0011 福岡県 福岡市 東区香椎1-18-8,+81 92-410-2355,ダイニングバー,5.0 ,1件の口コミ,https://www.bar-arikado.com/,,https://www.tripadvisor.jp/Restaurant_Review-g298207-d12071590-Reviews-Bar_Arikado-Fukuoka_Fukuoka_Prefecture_Kyushu.html
